,alpha,beta,count,course,skewness
102,0.987668169449,0.118619148599,756,H08U1A,-0.557379702596
103,0.919033114854,1.08054690373,385,H08U4A,-0.578610532003
104,,,1831,H08U5A,-0.67219895898
105,,,3374,H08W0A,-0.375991323241
106,0.940006109627,0.743574387627,358,H08W1A,-0.579959159146
107,0.932743992561,0.811766145901,276,H08W2A,-1.81969293748
108,1.18625924447,-2.07382653513,467,H08W3A,-0.77367762116
109,,,1466,H08W4A,-0.283407948111
110,,,1326,H08W5A,-0.434414103577
111,1.0201183432,-0.261538461538,2,H08X4B,
112,0.984392419175,0.202898550725,2,H08X4C,
113,0.910191539063,1.14433489241,166,H09B7A,-1.55025677827
114,0.953555564558,0.549125735824,164,H09B8A,-1.39008294878
115,0.917477703072,1.16149491388,158,H09B9A,-2.7523575959
116,0.945423636215,0.777592248494,1049,H9XA1A,-0.0898740851668
117,1.35947712418,-3.23529411765,2,X0A43A,
118,0.960784313725,0.470588235294,2,X0A43B,
119,0.955555555556,0.4,2,X0B87A,
120,0.742424242424,3.09090909091,2,X0C13B,
121,0.891831997894,1.42077205882,8,X0C76A,0.197078176614
122,1.02298270197,-0.209625668449,8,X9X17A,-1.30899037469
