,factor1_measure,factor2_measure,factor3_measure,factor4_measure,factor5_measure,factor6_measure,student
1252,0.0,0.0,0.0,11.0,0.0,,298039
1253,0.0,0.0,0.0,12.0,0.0,,298076
1254,0.0,0.0,0.0,12.0,10.0,,298086
1255,0.0,0.0,0.0,14.0,18.0,,298260
1256,0.0,10.0,0.0,12.5,10.5714285714,,298264
1257,0.0,0.0,0.0,13.0,13.5714285714,,298281
1258,15.5,0.0,14.0,12.75,12.2857142857,,298282
1259,12.6,12.0,12.7777777778,14.0,12.8571428571,,298300
1260,14.6,13.0,12.5555555556,15.0,14.4285714286,,298342
1261,13.4,13.0,12.3333333333,14.75,13.5714285714,,298376
1262,0.0,0.0,0.0,0.0,0.0,,298412
1263,0.0,0.0,0.0,0.0,10.0,,298453
1264,0.0,,0.0,11.0,0.0,,298460
1265,,,,,10.5,,298485
1266,0.0,0.0,0.0,11.0,0.0,,298536
1267,13.7,0.0,11.6666666667,14.5,12.0,,298552
1268,0.0,0.0,0.0,12.5,10.0,,298561
1269,16.2,13.0,14.8888888889,15.25,14.5714285714,14.3333333333,298567
1270,0.0,0.0,0.0,12.5,0.0,,298684
1271,13.0,11.3333333333,11.7777777778,15.5,10.2857142857,14.0,298755
1272,0.0,10.0,0.0,12.0,0.0,,298778
1273,0.0,11.0,0.0,14.25,0.0,0.0,298867
1274,0.0,0.0,0.0,11.0,15.0,,298876
1275,0.0,14.0,0.0,15.0,11.7142857143,,298904
1276,13.8,0.0,0.0,12.0,12.2857142857,,298929
1277,0.0,0.0,10.6666666667,12.0,0.0,,298950
1278,0.0,0.0,13.8888888889,13.5,0.0,,298952
1279,0.0,0.0,0.0,13.25,0.0,,299062
1280,0.0,0.0,0.0,13.0,14.0,,299063
1281,13.1,14.0,14.1111111111,13.0,13.5714285714,12.3333333333,299066
1282,0.0,0.0,0.0,12.5,0.0,10.0,299067
1283,13.1,14.6666666667,13.6666666667,15.5,15.0,15.75,299068
1284,0.0,14.0,12.4444444444,12.75,15.4285714286,,299075
1285,12.7,12.0,14.4444444444,13.5,0.0,,299078
1286,16.7,16.0,16.1111111111,17.0,15.2857142857,,299086
1287,0.0,12.0,0.0,13.5,12.2857142857,0.0,299096
1288,12.0,14.0,13.7777777778,15.0,13.7142857143,13.75,299122
1289,13.5,12.6666666667,12.8888888889,13.75,13.7142857143,15.75,299123
