,factor1_measure,factor2_measure,factor3_measure,factor4_measure,factor5_measure,factor6_measure,student
1596,13.6,14.3333333333,0.0,14.5,15.7142857143,,364499
1597,14.8,16.6666666667,15.8888888889,12.5,16.0,,364597
1598,0.0,0.0,0.0,0.0,11.0,,364598
1599,13.6,13.3333333333,11.7777777778,15.5,13.0,,364608
1600,0.0,0.0,0.0,14.0,13.7142857143,,364615
1601,15.0,15.0,16.5555555556,13.25,15.8571428571,,364619
1602,11.4,12.0,0.0,14.5,0.0,,364620
1603,0.0,11.3333333333,0.0,12.0,11.3333333333,0.0,364627
1604,0.0,0.0,0.0,13.0,0.0,,364632
1605,0.0,0.0,0.0,13.5,0.0,,364634
1606,12.5,15.0,12.4444444444,13.0,12.8571428571,,364638
1607,0.0,0.0,0.0,13.5,0.0,,364642
1608,17.5,18.0,17.7777777778,16.0,17.7142857143,,364650
1609,13.8,17.0,12.8888888889,14.25,17.4285714286,,364688
1610,0.0,0.0,0.0,11.0,0.0,,364689
1611,13.8,16.0,14.7777777778,15.0,15.5714285714,,364691
1612,14.2,16.6666666667,15.5555555556,12.75,14.2857142857,,364693
1613,0.0,,0.0,,,,364785
1614,0.0,0.0,0.0,11.0,0.0,,366043
1615,15.7,15.6666666667,16.1111111111,15.25,14.3333333333,,366545
1616,14.2,12.6666666667,14.5555555556,14.5,15.1428571429,0.0,366752
1617,12.8,0.0,12.6666666667,15.5,14.5714285714,,366755
1618,12.1,14.0,13.2222222222,14.0,15.7142857143,,366757
1619,0.0,0.0,0.0,12.25,12.1428571429,,366761
1620,13.1,12.0,13.7777777778,13.5,14.8571428571,0.0,366769
1621,16.7,13.3333333333,14.1111111111,14.25,14.8571428571,,366773
1622,0.0,0.0,0.0,13.0,13.8571428571,,366775
1623,13.6,12.3333333333,12.3333333333,14.5,14.4285714286,13.6666666667,366780
1624,0.0,11.6666666667,13.2222222222,13.0,13.0,12.625,366799
1625,0.0,0.0,0.0,11.5,10.0,,366804
1626,0.0,13.0,0.0,11.5,10.0,,367199
1627,0.0,0.0,0.0,12.5,0.0,,367249
1628,0.0,0.0,0.0,12.5,0.0,,367283
1629,12.8,13.0,14.3333333333,14.0,15.4285714286,,367314
1630,0.0,0.0,0.0,13.5,0.0,,367326
1631,12.8,13.3333333333,12.3333333333,14.75,12.7142857143,,367340
1632,0.0,0.0,0.0,0.0,0.0,,367357
1633,0.0,0.0,0.0,0.0,10.0,,367408
1634,16.6,18.6666666667,16.5555555556,14.25,16.2857142857,,367513
1635,15.7,15.6666666667,17.0,15.0,13.7142857143,15.8333333333,367519
1636,13.4,0.0,14.3333333333,13.0,13.7142857143,,367524
1637,0.0,13.3333333333,10.7777777778,12.5,12.8571428571,,367555
1638,14.3,14.0,15.5555555556,15.5,12.7142857143,,367590
1639,0.0,0.0,0.0,11.0,0.0,,367604
1640,11.9,13.0,13.7777777778,15.25,0.0,0.0,367657
1641,14.0,12.3333333333,13.7777777778,14.0,13.1428571429,13.3333333333,367670
1642,0.0,10.0,0.0,13.5,14.0,,367686
1643,0.0,,0.0,12.0,0.0,,367701
1644,0.0,0.0,0.0,13.75,12.7142857143,,367732
1645,0.0,11.6666666667,13.8888888889,14.0,0.0,0.0,367979
1646,13.6,14.0,14.4444444444,13.75,15.4285714286,,368100
1647,14.9,14.3333333333,16.4444444444,13.5,13.1428571429,,368529
1648,0.0,11.3333333333,11.3333333333,14.5,13.7142857143,13.6666666667,368645
1649,11.5,,14.5,15.0,16.0,,368709
1650,13.4,14.0,13.8888888889,14.75,13.1428571429,15.875,368722
1651,12.4,12.6666666667,12.0,15.0,0.0,13.5,368727
1652,12.3,15.0,15.1111111111,15.75,14.5714285714,,368753
1653,14.9,14.6666666667,14.0,14.0,14.1428571429,,368768
1654,0.0,,0.0,0.0,0.0,,368782
1655,0.0,0.0,0.0,12.0,10.0,,368798
1656,0.0,0.0,0.0,12.0,0.0,,368818
1657,12.3,14.3333333333,12.6666666667,15.0,14.0,,368868
1658,15.8,16.0,13.7777777778,15.75,15.7142857143,,368909
1659,0.0,0.0,0.0,12.5,0.0,,368923
1660,12.0,0.0,12.5555555556,14.25,11.1428571429,,368984
1661,16.1,15.6666666667,16.6666666667,15.0,16.0,,369131
1662,,,,,14.0,,369158
1663,0.0,0.0,0.0,12.25,0.0,,369410
1664,0.0,,0.0,11.0,0.0,,369446
1665,11.7,15.0,11.6666666667,13.75,15.4285714286,,369494
1666,0.0,10.0,0.0,13.0,0.0,,369613
1667,12.6,13.3333333333,11.3333333333,13.25,14.4285714286,,369621
1668,15.0,13.0,15.3333333333,14.75,11.4285714286,0.0,369632
1669,15.7,14.0,14.1111111111,15.0,15.8571428571,,369638
1670,0.0,10.0,0.0,11.5,14.0,,369643
1671,0.0,0.0,0.0,12.5,11.0,0.0,369676
1672,0.0,0.0,0.0,10.5,0.0,,369749
1673,0.0,0.0,0.0,13.5,0.0,,369754
1674,0.0,0.0,0.0,14.25,0.0,,369990
1675,12.2,16.3333333333,12.2222222222,16.0,0.0,,370036
1676,15.0,14.6666666667,15.6666666667,13.75,17.1428571429,,370090
1677,0.0,0.0,0.0,11.5,11.0,,370100
1678,0.0,0.0,0.0,13.0,15.0,,370127
1679,,,,,0.0,,370143
1680,0.0,0.0,0.0,14.75,0.0,,370145
1681,0.0,0.0,0.0,13.5,12.0,,370348
1682,15.6,14.3333333333,17.3333333333,14.25,15.1428571429,,370355
1683,0.0,10.0,0.0,13.5,0.0,,370366
1684,11.5,14.6666666667,0.0,16.5,14.0,,370392
1685,0.0,12.3333333333,12.2222222222,13.75,12.2857142857,,370427
1686,0.0,0.0,12.3333333333,12.5,0.0,,370585
1687,,,,,10.0,,370624
1688,0.0,0.0,0.0,11.0,0.0,,370648
1689,16.8,18.6666666667,19.0,15.0,17.4285714286,18.625,370667
1690,15.9,13.0,14.8888888889,17.75,15.7142857143,,370671
1691,13.7,13.3333333333,13.8888888889,12.25,11.8571428571,,370687
1692,13.7,13.3333333333,11.6666666667,14.25,12.7142857143,,370693
1693,0.0,0.0,0.0,12.5,0.0,,370701
1694,14.0,12.3333333333,13.5555555556,13.75,14.2857142857,,370821
1695,12.4,14.6666666667,14.0,14.0,14.7142857143,13.6666666667,370830
1696,0.0,13.0,0.0,15.0,12.0,0.0,370846
1697,0.0,0.0,,,,,370884
1698,13.3,0.0,11.8888888889,12.25,15.1428571429,,370897
1699,12.2,0.0,11.8888888889,14.0,14.5714285714,,370916
1700,0.0,0.0,0.0,12.0,0.0,,370938
1701,0.0,0.0,0.0,12.0,10.0,,370950
1702,11.7,0.0,0.0,14.25,12.0,,371003
1703,12.8,12.0,11.1111111111,12.75,14.1428571429,,371167
1704,0.0,0.0,0.0,13.25,12.6666666667,,371172
1705,,,,,14.0,,371211
1706,13.3,15.3333333333,14.8888888889,14.5,16.0,,371282
1707,0.0,0.0,0.0,13.5,12.0,,371406
1708,10.8,10.6666666667,0.0,14.0,12.0,,371426
1709,14.5,17.3333333333,14.5555555556,13.5,14.0,15.3333333333,371714
1710,12.9,13.3333333333,12.5555555556,15.0,12.5714285714,,371764
1711,14.8,12.3333333333,15.1111111111,14.75,15.2857142857,15.125,371801
1712,0.0,,0.0,11.0,0.0,,371807
1713,0.0,0.0,0.0,13.25,0.0,,371869
1714,0.0,13.3333333333,11.1111111111,14.25,13.7142857143,,371877
1715,11.8,12.6666666667,13.0,15.25,14.8571428571,15.125,371960
1716,0.0,0.0,0.0,13.0,12.0,,371968
1717,0.0,11.0,0.0,15.25,0.0,0.0,371981
1718,16.7,16.6666666667,17.0,13.75,16.4285714286,14.8333333333,371984
1719,13.1,14.6666666667,0.0,15.0,12.7142857143,,372040
1720,0.0,13.0,14.4444444444,15.0,13.7142857143,13.75,372073
1721,0.0,10.6666666667,0.0,14.25,13.2,,372097
1722,0.0,12.3333333333,11.6666666667,14.75,12.4285714286,13.375,372234
1723,15.4,14.0,13.0,14.25,13.8571428571,,372251
1724,12.8,12.0,12.0,12.75,13.5714285714,13.875,372258
1725,0.0,0.0,0.0,14.0,0.0,,372268
1726,12.0,0.0,12.7777777778,14.5,14.0,,372346
1727,,,,,15.0,,372348
1728,0.0,10.0,0.0,12.75,10.6666666667,,372397
1729,0.0,12.3333333333,0.0,12.25,0.0,,372413
1730,0.0,0.0,0.0,13.0,13.0,,372445
1731,15.1,15.0,15.2222222222,14.75,16.2857142857,,372528
1732,0.0,12.0,0.0,13.0,13.7142857143,,372552
1733,14.9,16.0,15.7777777778,15.0,15.7142857143,,372597
1734,0.0,14.0,0.0,15.75,0.0,,372599
1735,0.0,12.0,0.0,14.75,14.1428571429,11.8,372625
1736,0.0,0.0,0.0,0.0,11.0,,372629
1737,18.5,16.3333333333,18.8888888889,15.5,16.7142857143,,372707
1738,0.0,13.3333333333,12.8888888889,11.5,10.4,0.0,372725
1739,0.0,0.0,0.0,11.0,0.0,,372747
1740,0.0,,0.0,14.0,13.0,,372787
1741,0.0,,0.0,10.0,0.0,,372882
1742,0.0,10.0,0.0,13.0,13.0,,372960
1743,0.0,12.0,12.4444444444,14.0,13.4285714286,,372991
1744,0.0,,0.0,0.0,0.0,,372992
1745,0.0,11.3333333333,11.6666666667,14.75,0.0,0.0,373003
1746,0.0,0.0,0.0,0.0,0.0,,373064
1747,0.0,0.0,0.0,13.5,0.0,,373169
1748,0.0,12.0,0.0,13.0,0.0,,373179
1749,15.0,14.0,12.8888888889,14.25,14.2857142857,,373185
1750,0.0,0.0,12.5555555556,13.25,15.8571428571,,373204
1751,0.0,0.0,0.0,12.0,0.0,,373220
1752,0.0,0.0,0.0,0.0,0.0,,373281
1753,0.0,14.0,12.8888888889,13.75,14.2857142857,,373338
1754,,,,,18.0,,373378
1755,16.0,17.0,16.8888888889,15.25,16.5714285714,,373429
1756,0.0,14.6666666667,0.0,13.75,14.8571428571,,373437
1757,0.0,13.3333333333,10.8888888889,13.0,11.8571428571,,373470
1758,0.0,12.3333333333,0.0,16.75,12.0,,373472
1759,13.0,12.6666666667,12.1111111111,12.75,12.4285714286,,373476
1760,12.4,0.0,0.0,14.25,13.7142857143,,373477
1761,0.0,10.6666666667,0.0,14.0,0.0,,373483
1762,0.0,13.6666666667,10.8888888889,14.5,12.0,14.0,373515
1763,0.0,0.0,0.0,14.25,0.0,,373553
1764,0.0,13.3333333333,0.0,13.75,0.0,0.0,373556
1765,15.0,17.3333333333,17.1111111111,15.5,17.5714285714,,373638
1766,0.0,0.0,0.0,13.0,0.0,,373664
1767,14.6,15.0,13.3333333333,13.5,15.2857142857,,373682
1768,,,,,17.0,,373704
1769,0.0,11.6666666667,12.4444444444,14.5,13.0,,373714
1770,14.3,18.0,15.7777777778,15.5,17.4285714286,,373753
1771,0.0,0.0,0.0,0.0,0.0,,373785
1772,,,,,16.5,,373807
1773,12.4,10.6666666667,11.6666666667,13.25,13.7142857143,,373822
1774,13.7,10.6666666667,0.0,12.5,15.8571428571,,373888
1775,0.0,12.3333333333,13.6666666667,13.5,13.8571428571,,373914
1776,0.0,11.3333333333,0.0,11.5,12.0,13.6,373930
1777,12.8,12.3333333333,11.8888888889,14.5,12.1428571429,,373959
1778,0.0,0.0,0.0,11.5,0.0,,374012
1779,0.0,0.0,0.0,14.5,0.0,,374017
1780,12.8,13.0,13.2222222222,14.75,13.1428571429,,374081
1781,0.0,11.0,0.0,13.0,14.0,,374151
1782,0.0,10.0,0.0,13.0,12.4285714286,,374163
1783,0.0,10.0,0.0,12.0,0.0,,374197
1784,,,,,13.5,,374229
1785,0.0,10.6666666667,0.0,12.5,11.8571428571,,374246
1786,0.0,0.0,15.2222222222,13.5,0.0,,374253
1787,,,,,15.5,,374273
1788,0.0,11.6666666667,11.7777777778,12.25,12.4285714286,0.0,374299
1789,0.0,,0.0,13.0,0.0,,374319
1790,0.0,12.0,11.6666666667,13.25,15.7142857143,,374363
1791,0.0,12.3333333333,0.0,12.75,11.3333333333,12.6666666667,374392
1792,,,,,13.5,,375013
1793,0.0,14.0,0.0,13.0,0.0,,375016
1794,12.7,0.0,0.0,12.5,16.4285714286,,375038
1795,0.0,10.6666666667,0.0,14.0,0.0,,375050
1796,13.2,12.6666666667,13.0,16.5,15.0,15.0,375056
1797,14.8,15.6666666667,15.5555555556,14.25,16.4285714286,,375078
1798,0.0,15.3333333333,14.0,13.0,15.2857142857,,375087
1799,0.0,0.0,0.0,13.75,0.0,,375097
1800,0.0,0.0,0.0,11.0,10.0,,375100
1801,0.0,10.0,0.0,13.5,0.0,,375116
1802,0.0,13.0,0.0,14.25,13.0,,375118
1803,0.0,0.0,0.0,11.5,0.0,,375150
1804,0.0,11.6666666667,11.2222222222,14.75,14.5714285714,,375210
1805,,,,,14.0,,375394
1806,13.3,14.6666666667,13.1111111111,15.25,14.2857142857,,375482
1807,12.7,13.6666666667,13.6666666667,15.25,16.0,,375518
1808,0.0,12.3333333333,0.0,13.5,11.6,,375585
1809,12.3,14.0,13.6666666667,14.25,15.1428571429,,375593
1810,15.5,14.6666666667,17.6666666667,15.5,15.8571428571,,375599
1811,0.0,0.0,0.0,13.75,13.4285714286,,375672
1812,12.7,12.0,14.6666666667,13.75,12.7142857143,,375731
1813,0.0,12.3333333333,0.0,11.75,13.7142857143,11.875,375828
1814,0.0,0.0,0.0,12.0,0.0,,375836
1815,0.0,0.0,0.0,11.5,10.0,,375881
1816,15.3,14.6666666667,15.7777777778,13.25,13.8571428571,,375884
1817,0.0,15.0,0.0,12.75,0.0,13.6666666667,375889
1818,0.0,15.0,0.0,14.5,15.5714285714,,375915
1819,0.0,11.0,11.5555555556,14.5,0.0,0.0,375950
1820,14.2,15.6666666667,16.8888888889,16.75,16.4285714286,16.75,375967
1821,0.0,0.0,0.0,14.25,0.0,,375989
1822,15.2,15.0,16.6666666667,15.0,15.4285714286,,376023
1823,0.0,12.0,0.0,11.5,10.0,,376038
1824,,,,,17.0,,376074
1825,0.0,0.0,0.0,12.5,0.0,,376144
1826,0.0,0.0,0.0,13.0,11.0,,376263
1827,0.0,11.0,0.0,14.5,10.0,15.0,376333
1828,0.0,11.6666666667,0.0,13.5,13.6,,376438
1829,0.0,0.0,0.0,12.0,0.0,,376446
1830,0.0,13.6666666667,0.0,13.75,12.4,,376495
1831,0.0,11.0,0.0,14.0,10.0,,376498
1832,,,,,14.0,,376522
1833,0.0,12.3333333333,13.6666666667,14.0,14.5714285714,,376550
1834,16.3,16.3333333333,15.5555555556,14.5,16.1428571429,,376573
1835,0.0,13.0,0.0,16.5,15.0,16.4,376577
1836,0.0,0.0,0.0,12.0,0.0,,376592
1837,12.7,13.6666666667,0.0,13.25,12.8571428571,,376773
1838,13.1,13.0,13.8888888889,13.0,12.8571428571,,376779
1839,0.0,0.0,0.0,0.0,0.0,,376863
1840,0.0,11.0,13.8888888889,13.25,0.0,13.0,376890
1841,0.0,12.6666666667,0.0,14.25,15.5714285714,,376900
1842,0.0,15.0,13.7777777778,14.0,15.0,13.0,377036
1843,13.5,16.3333333333,13.8888888889,15.75,14.8571428571,,377062
1844,0.0,0.0,0.0,0.0,0.0,,377082
1845,12.7,11.0,12.8888888889,14.0,13.4285714286,,377094
1846,0.0,10.6666666667,12.4444444444,12.5,10.0,,377101
1847,12.1,14.3333333333,12.2222222222,12.25,13.1428571429,,377130
1848,0.0,0.0,0.0,12.0,0.0,,377150
1849,0.0,0.0,0.0,15.0,0.0,,377162
1850,0.0,0.0,0.0,13.5,0.0,,377166
1851,0.0,0.0,0.0,13.0,13.0,,377202
1852,,,,,14.5,,377263
1853,,,,,17.0,,377286
1854,0.0,0.0,0.0,11.5,0.0,,377310
1855,0.0,0.0,0.0,12.75,13.0,0.0,377345
1856,0.0,11.0,0.0,14.5,0.0,,377409
1857,0.0,13.3333333333,0.0,13.25,12.8,,377420
1858,0.0,0.0,0.0,11.5,10.0,,377450
1859,0.0,11.0,0.0,14.5,11.0,,377456
1860,13.4,0.0,13.0,13.25,13.1428571429,,377629
1861,0.0,0.0,13.0,12.75,14.8571428571,,377659
1862,0.0,0.0,0.0,15.0,13.4285714286,,377662
1863,0.0,11.0,0.0,14.5,14.5714285714,,377720
1864,0.0,12.3333333333,0.0,14.25,10.8571428571,,377731
1865,0.0,0.0,0.0,11.5,10.0,,377735
1866,0.0,0.0,0.0,11.5,0.0,,377749
1867,0.0,11.0,11.3333333333,12.0,0.0,,377754
1868,0.0,0.0,0.0,0.0,0.0,,377775
1869,0.0,12.3333333333,0.0,15.25,10.7142857143,12.6666666667,377936
1870,0.0,0.0,0.0,0.0,0.0,,377994
1871,14.7,16.0,16.1111111111,14.75,16.0,,378009
1872,0.0,0.0,0.0,0.0,0.0,,378010
1873,0.0,0.0,0.0,11.0,0.0,,378013
1874,0.0,12.0,0.0,12.5,,,378014
1875,14.1,16.3333333333,14.6666666667,13.75,13.1428571429,,378020
1876,0.0,,0.0,12.0,10.0,,378029
1877,0.0,10.6666666667,0.0,13.25,12.0,,378037
1878,0.0,12.0,11.4444444444,14.25,11.0,,378038
1879,0.0,10.0,0.0,11.5,13.0,,378046
1880,12.6,0.0,13.1111111111,12.25,13.1428571429,,378073
1881,0.0,10.6666666667,0.0,15.0,0.0,0.0,378092
1882,0.0,0.0,0.0,12.0,12.0,,378211
1883,14.3,14.6666666667,14.7777777778,14.75,15.8571428571,,378216
1884,14.5,16.0,15.2857142857,12.0,13.5,,378219
1885,0.0,,0.0,13.0,0.0,,378229
1886,16.0,16.3333333333,13.8888888889,14.5,14.8571428571,,378255
1887,13.8,14.6666666667,14.6666666667,14.25,15.8571428571,,378267
1888,0.0,0.0,0.0,12.0,0.0,,378274
1889,14.2,14.3333333333,14.2222222222,15.75,16.2857142857,,378297
1890,0.0,0.0,0.0,12.0,0.0,,378298
1891,11.9,15.6666666667,13.4444444444,17.0,13.8571428571,0.0,378369
1892,0.0,0.0,0.0,14.0,11.0,,378403
1893,13.7,13.3333333333,13.6666666667,12.25,12.5714285714,13.1666666667,378521
1894,12.4,14.3333333333,12.3333333333,15.75,12.7142857143,12.6666666667,378528
1895,13.6,12.0,16.0,14.0,13.1428571429,14.375,378532
1896,14.0,12.3333333333,12.8888888889,14.75,14.5714285714,14.0,378564
1897,13.0,13.6666666667,12.4444444444,14.5,16.2857142857,,378600
1898,0.0,0.0,0.0,12.25,0.0,,378617
1899,17.3,17.3333333333,17.2222222222,14.5,15.4285714286,,379051
1900,0.0,0.0,0.0,0.0,0.0,,379094
1901,12.2,12.6666666667,11.1111111111,14.5,13.2857142857,13.0,379100
1902,0.0,,0.0,12.0,0.0,,379250
1903,0.0,0.0,0.0,13.5,12.0,,379269
1904,0.0,0.0,12.0,13.0,0.0,,379294
1905,14.0,12.0,14.0,14.0,12.8571428571,,379306
1906,15.4,15.6666666667,13.2222222222,14.25,13.4285714286,,379326
1907,0.0,10.0,0.0,12.0,0.0,,379328
1908,0.0,10.3333333333,0.0,15.75,0.0,0.0,379332
1909,0.0,0.0,0.0,11.0,0.0,,379347
1910,0.0,0.0,0.0,13.0,0.0,,379362
1911,15.7,14.6666666667,14.8888888889,13.25,15.4285714286,,379399
1912,0.0,0.0,0.0,12.0,0.0,,379417
1913,0.0,0.0,0.0,13.5,11.0,,379447
1914,,,,,15.5,,379545
1915,,,,,15.5,,379603
1916,0.0,11.0,0.0,11.0,11.6666666667,,379633
1917,0.0,11.0,13.0,13.5,10.0,,379695
1918,0.0,10.0,0.0,12.5,13.0,,379751
1919,12.8,13.6666666667,14.4444444444,13.25,13.1428571429,15.1666666667,379845
1920,14.7,0.0,13.2222222222,13.5,15.5714285714,,379851
1921,15.2,14.3333333333,16.7777777778,15.25,14.4285714286,,379853
1922,11.3,13.6666666667,12.6666666667,15.5,14.4285714286,13.875,379880
1923,0.0,0.0,0.0,12.5,0.0,,379881
1924,0.0,10.6666666667,0.0,15.25,0.0,,380018
1925,12.6,15.3333333333,14.4444444444,13.0,15.2857142857,13.625,380020
1926,13.1,11.3333333333,12.2222222222,15.0,14.4285714286,,380032
1927,0.0,11.0,11.2222222222,14.5,0.0,,380040
1928,0.0,0.0,0.0,14.0,0.0,,380060
1929,12.0,15.6666666667,13.8888888889,16.25,14.1428571429,14.0,380069
1930,13.5,13.0,14.5555555556,15.5,14.4285714286,,380100
1931,0.0,0.0,10.6666666667,12.5,0.0,,380213
1932,0.0,0.0,0.0,13.5,0.0,,380214
1933,0.0,0.0,0.0,11.0,0.0,,380220
1934,0.0,10.6666666667,12.1111111111,14.5,0.0,12.6666666667,380222
1935,0.0,14.0,14.2222222222,18.5,0.0,0.0,380267
1936,0.0,12.0,0.0,13.0,0.0,,380272
1937,,,,,17.0,,380403
1938,13.5,15.3333333333,13.2222222222,13.5,14.0,,380441
1939,11.7,13.3333333333,12.2222222222,14.25,12.1428571429,,380444
1940,0.0,10.0,0.0,13.0,12.4,,380492
1941,0.0,14.0,0.0,14.75,0.0,,380494
1942,11.3,12.6666666667,0.0,11.0,10.8571428571,,380611
1943,0.0,12.0,0.0,13.25,11.3333333333,,380678
1944,0.0,0.0,0.0,11.5,0.0,,380705
1945,0.0,0.0,0.0,12.5,0.0,,380802
1946,0.0,11.0,0.0,12.5,15.0,,380856
1947,12.4,13.0,14.0,13.0,0.0,15.0,380859
1948,12.5,12.6666666667,11.6666666667,14.0,14.5714285714,,380881
1949,0.0,14.0,0.0,15.0,0.0,,380907
1950,0.0,12.6666666667,0.0,14.25,12.1428571429,,380952
1951,0.0,14.6666666667,12.2222222222,14.25,12.5714285714,,380969
1952,0.0,0.0,0.0,13.5,10.8,,381052
1953,,,,,12.0,,381062
1954,,,,,14.5,,381073
1955,11.7,11.3333333333,0.0,15.0,13.7142857143,,381217
1956,11.9,11.3333333333,12.8888888889,13.75,13.4285714286,0.0,381219
1957,17.0,18.3333333333,17.5555555556,17.5,18.5714285714,,381227
1958,14.0,12.6666666667,15.6666666667,15.25,13.2857142857,,381278
1959,0.0,0.0,0.0,15.0,0.0,,381413
1960,0.0,11.3333333333,0.0,13.25,16.1428571429,,381563
1961,13.1,0.0,12.7777777778,16.0,15.4285714286,0.0,381576
1962,12.8,12.3333333333,14.1111111111,14.5,11.5714285714,,381594
1963,0.0,0.0,0.0,0.0,0.0,,381606
1964,0.0,0.0,0.0,0.0,0.0,,381641
1965,0.0,12.6666666667,10.8888888889,12.0,0.0,,381643
1966,13.7,15.0,13.6666666667,16.0,15.2857142857,,381715
1967,0.0,0.0,0.0,0.0,0.0,,381732
1968,0.0,0.0,0.0,11.0,0.0,,381748
1969,0.0,10.6666666667,0.0,12.0,12.5714285714,,381797
1970,0.0,0.0,0.0,13.75,11.3333333333,,381798
1971,0.0,10.0,11.4444444444,13.5,11.4285714286,,381903
1972,13.2,15.0,15.2222222222,13.75,13.8571428571,,381904
1973,0.0,0.0,0.0,10.5,0.0,,381932
1974,13.5,17.0,16.4444444444,15.0,16.5714285714,16.625,381933
1975,0.0,14.0,0.0,13.5,12.0,,381939
1976,0.0,0.0,0.0,12.5,12.0,,382032
1977,0.0,11.3333333333,0.0,14.25,13.1428571429,,382090
1978,0.0,,0.0,0.0,0.0,,382345
1979,11.5,12.3333333333,0.0,13.0,12.7142857143,,383037
1980,0.0,0.0,0.0,12.0,12.0,,383052
1981,0.0,0.0,0.0,14.0,11.0,,383085
1982,14.7,15.3333333333,15.8888888889,14.5,17.0,,383111
1983,14.7,16.3333333333,15.8888888889,16.5,17.1428571429,,383130
1984,12.4,0.0,13.0,15.75,0.0,,383136
1985,0.0,0.0,0.0,12.5,11.1428571429,,383143
1986,0.0,10.0,0.0,12.5,0.0,,383155
1987,0.0,0.0,0.0,12.0,0.0,,383160
1988,0.0,0.0,12.4444444444,13.0,12.0,,383172
1989,0.0,,0.0,13.0,0.0,,383177
1990,12.2,11.0,12.0,14.25,0.0,,383348
1991,0.0,,0.0,0.0,0.0,,383384
1992,0.0,15.3333333333,15.7777777778,15.5,13.1428571429,,383422
1993,0.0,,0.0,14.0,12.0,,383526
1994,19.2,16.6666666667,18.3333333333,14.0,17.7142857143,17.375,383537
1995,0.0,13.6666666667,0.0,12.75,15.0,0.0,383624
1996,16.3,16.0,17.4444444444,14.0,16.4285714286,,383651
1997,0.0,11.3333333333,0.0,13.75,0.0,,383682
1998,13.7,10.6666666667,11.6666666667,13.75,14.8571428571,,383695
1999,0.0,0.0,0.0,13.0,0.0,,383723
2000,0.0,,0.0,11.0,0.0,,383778
2001,0.0,0.0,0.0,0.0,11.0,,383787
2002,14.2,16.0,15.3333333333,14.5,14.2857142857,,383805
2003,0.0,0.0,0.0,12.5,12.0,,383873
2004,0.0,0.0,0.0,0.0,0.0,,383878
2005,17.5,18.0,17.5555555556,14.5,17.0,15.75,383899
2006,0.0,0.0,0.0,0.0,0.0,,383909
2007,0.0,13.3333333333,0.0,13.75,0.0,12.75,384010
2008,0.0,13.3333333333,14.5555555556,13.25,16.4285714286,,384011
2009,0.0,0.0,0.0,0.0,0.0,,384126
2010,0.0,11.6666666667,10.4444444444,12.5,13.1428571429,,384145
2011,12.5,13.3333333333,11.1111111111,13.75,11.8571428571,,384309
2012,14.4,14.6666666667,14.6666666667,15.0,0.0,,384336
2013,0.0,0.0,0.0,13.0,0.0,,384445
2014,12.4,13.0,12.6666666667,13.25,13.8571428571,,384452
2015,12.3,10.6666666667,12.7777777778,15.0,12.0,,384534
2016,14.9,14.6666666667,16.4444444444,15.0,15.4285714286,,384561
2017,0.0,0.0,0.0,12.5,14.0,0.0,384564
2018,13.6,14.0,13.4444444444,14.25,14.7142857143,,384609
2019,0.0,0.0,11.6666666667,13.75,11.7142857143,,384662
2020,16.7,15.6666666667,15.5555555556,15.25,16.0,,384772
2021,15.3,15.6666666667,17.1111111111,14.5,15.2857142857,15.125,384780
2022,0.0,0.0,0.0,10.5,0.0,,384814
2023,,,,,12.0,,384914
2024,11.7,13.0,12.7777777778,14.0,14.7142857143,0.0,385016
2025,0.0,0.0,0.0,13.0,10.0,,385033
2026,0.0,0.0,0.0,0.0,0.0,,385061
2027,0.0,0.0,0.0,11.5,0.0,,385066
2028,0.0,0.0,0.0,13.0,10.0,,385103
2029,14.4,11.6666666667,12.4444444444,13.25,14.1428571429,,385119
2030,12.8,14.3333333333,12.6666666667,16.25,16.5714285714,14.6666666667,385139
2031,15.8,17.3333333333,17.8888888889,16.0,16.4285714286,,385169
2032,0.0,0.0,0.0,11.5,0.0,,385174
2033,13.1,13.0,0.0,14.0,12.1428571429,0.0,385177
2034,0.0,0.0,0.0,13.0,0.0,,385187
2035,16.0,14.3333333333,15.7777777778,13.5,15.4285714286,,385217
2036,12.8,13.6666666667,10.7777777778,14.75,16.4285714286,15.1666666667,385276
2037,14.9,15.6666666667,15.8888888889,16.0,16.4285714286,,385290
2038,0.0,10.3333333333,11.1111111111,14.25,12.7142857143,,385326
2039,0.0,11.0,0.0,10.5,12.0,,385360
2040,0.0,12.3333333333,0.0,14.0,10.6666666667,,385380
2041,0.0,11.3333333333,11.2222222222,12.5,0.0,,385392
2042,0.0,0.0,0.0,0.0,12.0,,385515
2043,12.4,12.6666666667,13.2222222222,13.75,14.2857142857,0.0,385523
2044,0.0,0.0,10.3333333333,13.5,12.5714285714,,385530
2045,0.0,0.0,0.0,0.0,10.0,,385535
2046,15.1,16.3333333333,12.6666666667,14.75,14.4285714286,,385543
2047,0.0,10.0,0.0,13.5,13.0,,385550
2048,0.0,,0.0,0.0,10.0,,385559
2049,0.0,10.0,0.0,13.0,14.0,,385566
2050,0.0,0.0,0.0,13.0,12.0,,385568
2051,0.0,0.0,0.0,10.5,0.0,,385573
2052,11.4,15.3333333333,13.3333333333,16.0,12.8571428571,14.1666666667,385580
2053,0.0,0.0,11.6666666667,14.25,13.2857142857,,385601
2054,15.7,16.0,16.2222222222,14.5,14.0,,385631
